Date,Close
2021-01-12,100.02
2021-01-13,100.34
2021-01-14,100.83
2021-01-15,100.82
2021-01-16,100.83
2021-01-17,100.87
2021-01-18,101.25
2021-01-19,101.93
2021-01-20,101.98
2021-01-21,101.11
2021-01-22,100.19
2021-01-27,101.00
2021-01-28,99.68
2021-01-29,98.42
2021-02-01,99.41
2021-02-02,99.59
2021-02-03,100.04
2021-02-04,100.29
2021-02-05,100.58
2021-02-08,100.95
2021-02-09,100.73
2021-02-10,100.50
2021-02-11,100.39
2021-02-12,100.94
2021-02-14,100.99
2021-02-15,102.26
2021-02-16,102.52
2021-02-17,102.63
2021-02-18,101.50
2021-02-19,102.03
2021-02-21,102.27
2021-02-22,101.99
2021-02-23,102.68
2021-02-24,102.47
2021-02-25,101.40
2021-02-26,100.70
2021-03-01,102.51
2021-03-02,102.34
2021-03-03,103.14
2021-03-04,103.18
2021-03-05,104.87
2021-03-08,105.55
2021-03-09,105.65
2021-03-10,106.24
2021-03-11,105.71
2021-03-12,105.77
2021-03-16,106.86
2021-03-17,106.59
2021-03-18,106.30
2021-03-19,106.07
2021-03-22,106.57
2021-03-23,105.53
2021-03-24,105.55
2021-03-25,105.93
2021-03-26,106.63
2021-03-27,106.62
2021-03-28,106.57
2021-03-29,107.20
2021-03-30,106.84
2021-03-31,106.92
2021-04-06,106.86
2021-04-07,106.61
2021-04-08,106.56
2021-04-09,106.22
2021-04-10,106.14
2021-04-11,106.21
2021-04-12,105.96
2021-04-13,105.78
2021-04-14,105.64
2021-04-15,105.75
2021-04-16,106.54
2021-04-19,106.15
2021-04-20,104.91
2021-04-21,105.23
2021-04-22,104.77
2021-04-23,104.92
2021-04-25,104.91
2021-04-26,105.10
2021-04-27,104.98
2021-04-28,104.95
2021-04-29,105.23
2021-04-30,105.09
2021-05-03,105.60
2021-05-04,105.49
2021-05-05,106.51
2021-05-06,107.60
2021-05-07,107.97
2021-05-09,108.00
2021-05-10,107.91
2021-05-11,106.88
2021-05-12,106.84
2021-05-13,106.76
2021-05-14,108.67
2021-05-16,108.51
2021-05-17,108.67
2021-05-18,108.60
2021-05-19,108.38
2021-05-20,108.05
2021-05-21,108.45
2021-05-24,107.15
2021-05-25,107.79
2021-05-26,108.46
2021-05-27,108.59
2021-05-28,108.48
2021-05-31,107.98
2021-06-01,108.83
2021-06-02,109.35
2021-06-03,109.52
2021-06-04,109.34
2021-06-06,109.29
2021-06-07,109.40
2021-06-08,109.88
2021-06-09,110.15
2021-06-10,110.16
2021-06-11,110.62
2021-06-13,110.57
2021-06-14,111.02
2021-06-15,110.45
2021-06-16,109.96
2021-06-17,110.35
2021-06-18,108.60
2021-06-20,108.46
2021-06-21,109.35
2021-06-22,109.33
2021-06-23,108.74
2021-06-24,109.07
2021-06-25,109.61
2021-06-26,109.60
2021-06-28,109.16
2021-06-29,108.86
2021-06-30,108.68
2021-07-01,109.36
2021-07-02,109.26
2021-07-04,109.39
2021-07-05,109.63
2021-07-06,108.88
2021-07-07,108.77
2021-07-08,107.05
2021-07-09,107.85
2021-07-12,108.23
2021-07-13,108.23
2021-07-14,108.04
2021-07-15,107.80
2021-07-16,107.26
2021-07-18,107.26
2021-07-19,104.95
2021-07-20,105.47
2021-07-21,106.79
2021-07-22,107.33
2021-07-23,107.69
2021-07-25,107.66
2021-07-26,107.89
2021-07-27,107.20
2021-07-28,107.64
2021-07-29,107.46
2021-07-30,107.07
2021-08-01,107.01
